Date,"New York, NY","Los Angeles, CA","Chicago, IL","Houston, TX","Miami, FL","Boston, MA","Phoenix, AZ","Seattle, WA"
04/30/08,401195,499583,239167,143000,244333,322067,226300,333833
05/31/08,399667,495250,239500,145167,244000,333067,226000,334483
06/30/08,401667,490833,243667,148500,245667,344167,226000,336150
07/31/08,407333,480833,248333,152167,247333,351000,221967,334817
08/31/08,414000,467500,251667,153500,250000,353333,216633,332483
09/30/08,412333,452000,249167,152467,241633,339233,208300,326400
10/31/08,401667,440000,240833,146467,231600,325900,203333,321900
11/30/08,387500,425000,233083,138633,218267,312567,196667,312831
12/31/08,378683,416333,225583,131333,211800,306667,186633,310581
01/31/09,372233,400333,220583,127650,199667,305000,174967,310914
02/28/09,368067,399500,216000,126750,191333,300000,166633,312667
03/31/09,362117,394500,215333,130250,182833,296333,163333,309317
04/30/09,356900,395833,217000,136100,176667,294833,161667,302650
05/31/09,355233,397000,220000,143315,172333,299833,160635,301817
06/30/09,358000,405150,222333,149648,174000,313500,160635,306833
07/31/09,366333,412650,225167,155148,182333,323300,159302,309683
08/31/09,372167,412317,226417,157400,185000,329967,155333,307850
09/30/09,374167,411167,224083,155233,182500,323300,152000,303850
10/31/09,370833,407000,217917,150200,174167,311083,148218,300983
11/30/09,367500,405333,210667,145967,169500,298583,146551,298317
12/31/09,361833,398333,205633,142292,166500,300750,143218,299077
01/31/10,362067,395000,203967,140275,164833,308000,141333,299170
02/28/10,363686,388333,200967,138275,161167,309833,139667,303078
03/31/10,362686,388333,202667,140117,158000,306333,140333,304451
04/30/10,361105,388333,203363,143467,154667,304917,142300,305041
05/31/10,360319,396667,208363,146433,156850,312083,143967,308596
06/30/10,367402,396667,212363,148600,159183,328417,144133,305463
07/31/10,375417,400000,215000,149967,162517,345167,141500,313130
08/31/10,385417,396667,220000,151333,162333,356083,138000,313100
09/30/10,,398333,213333,149000,158667,344667,135500,313100
10/31/10,,391667,209083,145500,157000,329000,134833,302850
11/30/10,322528,389667,197400,143067,153842,319917,134500,296417
12/31/10,,384667,195733,144733,152075,316333,133133,298083
01/31/11,367417,381333,192650,142233,147700,314167,131467,293333
02/28/11,367417,375000,192333,140833,143858,302500,130300,291665
03/31/11,364917,375000,188483,139167,137292,300833,129667,289982
04/30/11,364333,378667,187483,141083,136667,304167,129617,296315
05/31/11,361667,383333,188817,144083,141000,317667,127783,296317
06/30/11,366667,385000,195000,147417,149333,332667,126450,296000
07/31/11,373333,388000,199333,150833,153033,344833,123958,290167
08/31/11,378333,385000,203333,152000,152033,349667,122792,286833
09/30/11,380000,381667,196000,148683,147867,341333,121125,276167
10/31/11,370000,371667,186040,146183,144167,322000,119800,267333
11/30/11,356667,366667,172707,143517,140833,311000,121100,260650
12/31/11,345000,358333,167707,144167,140833,302667,122767,256727
01/31/12,340000,353333,163333,140500,140067,302333,125533,250273
02/29/12,338333,350000,159167,136517,140067,292417,127142,246957
03/31/12,338333,353333,159167,135850,139233,293417,131475,248640
04/30/12,341667,364333,165833,143317,141683,300243,137575,266260
05/31/12,347333,373667,176667,151967,146683,316160,145667,279593
06/30/12,359000,380250,189000,158633,153683,337743,151333,292167
07/31/12,367850,384250,195667,160667,160333,350917,153833,294333
08/31/12,373850,387750,199000,159667,162000,353917,154500,291000
09/30/12,370517,388167,193333,155167,162333,336333,154833,286667
10/31/12,363333,387083,182667,152500,160667,321333,157300,282300
11/30/12,356667,387583,175667,152833,162300,316667,160300,282300
12/31/12,351667,393917,169833,154000,163733,318167,162467,278798
01/31/13,350000,395000,168833,151500,163733,315750,162833,268165
02/28/13,346667,398333,162483,148833,162100,307417,163800,267203
03/31/13,343000,407000,161650,150500,161667,304250,167967,272038
04/30/13,338000,430333,168317,158167,167000,315000,174267,288790
05/31/13,344000,450333,181667,166500,175333,329833,179967,303178
06/30/13,354500,465000,199000,173167,185500,350667,184933,312512
07/31/13,369500,468583,210667,177300,192500,360933,188300,322427
08/31/13,380167,471250,217000,178300,197500,367767,188300,322333
09/30/13,381667,468583,211333,176467,197333,356933,187333,321380
10/31/13,376000,465000,202000,172083,193667,346067,187300,314713
11/30/13,362667,462000,192333,169083,191667,335700,188300,308955
12/31/13,355667,462667,187333,167550,191667,334650,189967,304242
01/31/14,354667,459333,183333,166133,192333,338333,189333,297148
02/28/14,356333,462833,178833,166967,189333,333227,189333,294890
03/31/14,355000,466500,178500,167000,189333,332427,190000,294890
04/30/14,351665,478167,185167,172000,193000,331010,192333,305283
05/31/14,353332,488333,197850,175833,204333,344817,195333,312800
06/30/14,361665,494667,211933,181833,214333,361667,197333,323792
07/31/14,373333,501333,219267,185500,224000,375000,198333,327158
08/31/14,383333,504333,223417,190500,224333,380000,199333,329325
09/30/14,383333,504333,217542,189500,220500,366667,197667,324500
10/31/14,375000,501000,208542,186667,216167,353300,196667,320167
11/30/14,365667,495000,198542,181667,214500,343550,194333,318483
12/31/14,360667,492000,192333,182500,216667,345383,196000,315983
01/31/15,364000,490333,189000,182500,215000,350417,197333,314317
02/28/15,363583,493333,186000,182833,215000,346000,199667,311333
03/31/15,361917,500000,189333,183667,215000,342533,201333,317667
04/30/15,358583,511000,198000,187500,218667,343867,203583,327000
05/31/15,361667,517667,211000,195167,225050,358033,208583,339906
06/30/15,371667,524333,220333,201167,233050,376333,211917,349906
07/31/15,381667,526000,225000,205667,239350,389000,214967,351573
08/31/15,389667,527833,224333,204500,239633,395667,213967,351667
09/30/15,389667,524167,219000,199043,234967,382333,213967,345867
10/31/15,382667,519000,212000,193710,230000,366667,214000,344716
11/30/15,374500,517167,205333,187877,225000,356667,214333,340289
12/31/15,369629,519167,200292,188300,225000,358333,216000,339089
01/31/16,368358,521667,195625,187300,225000,361667,216000,334240
02/29/16,368525,523333,190958,188633,226667,350667,217000,331983
03/31/16,366396,528000,192583,189138,226667,348167,216967,335548
04/30/16,366000,538000,203333,193804,230000,353167,220300,346548
05/31/16,367333,550333,216667,201471,235000,372500,224933,361565
06/30/16,376000,559000,226500,208333,241667,393333,228300,371667
07/31/16,388000,561000,229083,213500,246333,405000,228317,378313
08/31/16,397083,560333,228250,213460,247167,408333,228350,379786
09/30/16,396750,556333,221167,210127,246167,396667,229017,374786
10/31/16,390083,556000,214167,204960,243167,383000,230667,371473
11/30/16,381333,554333,208333,203333,242333,379000,230667,370667
12/31/16,376333,552667,206667,203833,241667,379000,230000,370095
01/31/17,374667,551000,205000,202833,241667,382750,229967,363428
02/28/17,375667,549333,202925,201167,241667,375083,230133,357761
03/31/17,374333,557417,207925,203167,241733,378383,231800,361667
04/30/17,376312,567417,216592,209149,245100,383300,233500,380000
05/31/17,380312,582417,228333,215816,249767,399967,237667,398333
06/30/17,390979,591667,235667,219983,258033,415000,241667,416573
07/31/17,404833,600000,238333,221667,263000,426667,244667,422685
08/31/17,412370,601667,236667,220567,266667,428333,245333,423471
09/30/17,411703,601667,229600,218152,263333,416667,244667,420231
10/31/17,398703,596667,222583,214902,258333,406667,245333,417453
11/30/17,391167,598333,218083,212669,255000,405000,246667,419000
12/31/17,386167,596667,216150,210083,255000,410000,248167,417333
01/31/18,388333,596667,215500,208233,257467,411000,249500,412323
02/28/18,387000,600000,216000,208567,257467,405667,252500,414990
03/31/18,388000,608500,221000,210983,259133,405667,255000,426657
04/30/18,389667,620167,228333,218383,261167,417667,257500,451000
05/31/18,394333,628500,235667,224717,266167,434667,259833,461000
06/30/18,403667,638000,242000,229167,270833,454667,264167,465906
07/31/18,413667,643000,244167,230200,273000,463333,267833,459906
08/31/18,422000,643000,241833,228533,273000,465743,268000,453979
09/30/18,421667,635000,234500,224967,269000,449076,266333,443979
10/31/18,412000,630000,227333,221567,268667,434743,265167,435644
11/30/18,403667,626333,223000,219233,270167,425667,265333,430025
12/31/18,395853,621333,220667,219871,270500,422333,266167,426785
01/31/19,395520,613000,218750,217271,268833,423500,266167,421787
02/28/19,393853,608333,218750,217104,265667,419817,266500,426667
03/31/19,393333,614667,223083,218833,269333,424817,267333,436833
04/30/19,393000,628000,230333,224833,273000,429650,270333,453500
05/31/19,394667,636333,238667,232067,278000,446567,274667,468500
06/30/19,404333,642667,244333,237100,280667,464900,278333,475000
07/31/19,416000,650000,248000,239767,285667,476567,281000,476333
08/31/19,422667,650667,246333,238367,288167,476667,282333,471000
09/30/19,422667,649667,240167,234300,285833,462083,283667,465983
10/31/19,416333,642333,233833,229967,284167,450417,285833,463817
11/30/19,412333,641667,230500,228300,285000,442650,286675,460817
12/31/19,409333,643167,228667,229877,286667,445567,288342,464150
01/31/20,410167,645833,225333,229210,286667,448900,290508,459983
02/29/20,413167,649167,223667,229210,285000,448333,295000,464983
03/31/20,413167,656000,229000,229333,290000,456667,300500,473336
04/30/20,415667,658333,240833,234967,296667,472333,302167,491670
05/31/20,418333,658333,248500,236633,302333,486650,302167,498136
06/30/20,426000,660000,251167,241630,305667,496650,303333,508133
07/31/20,432667,678000,252633,248330,310667,502650,309500,516467
08/31/20,441000,701333,258967,256630,318333,515000,317833,531667
09/30/20,448333,719667,262300,258300,323333,518333,324333,540750
10/31/20,455000,726667,264000,257467,324333,513333,329833,545750
11/30/20,461667,728333,260667,257500,324333,505667,332833,547417
12/31/20,465000,726667,258900,260500,324333,503667,334667,539000
01/31/21,466667,723333,253900,259083,326633,503633,338000,533333
02/28/21,466667,730000,251233,260750,329967,505092,345000,535000
03/31/21,466667,745000,253333,267417,333300,512092,355000,559317
04/30/21,471699,771667,262033,279000,338333,530458,365333,589983
05/31/21,478366,795000,275033,290667,343333,554000,378667,623317
06/30/21,493366,813333,284700,299333,350000,579000,390333,640000
07/31/21,508333,820000,289000,303667,355000,590667,401432,650000
08/31/21,519117,823333,288833,303667,358333,593333,408099,645617
09/30/21,524117,822167,284917,298633,358333,575833,414765,637283
10/31/21,520783,823000,280250,296633,358333,562500,420333,632283
11/30/21,515000,824000,276083,298300,360000,557500,425000,630000
12/31/21,508333,830833,273333,302500,366667,560000,428333,630000
01/31/22,508333,833167,271333,304133,373233,560000,433000,617333
02/28/22,510000,843167,269667,307467,379900,553000,441350,624185
03/31/22,513333,860833,273000,311633,387900,563000,454683,651518
04/30/22,521333,892333,283333,322333,395000,588000,467350,699185
05/31/22,531330,913000,295167,333325,408267,619167,480252,732333
06/30/22,546330,914667,306833,342160,416933,647500,487369,736667
07/31/22,559963,898333,310167,344827,423933,655833,484702,716667
08/31/22,571633,880917,308333,338502,420667,652592,473450,688333
09/30/22,568300,864250,298333,331333,415667,628092,459633,668333
10/31/22,552167,854250,288333,322000,414667,607992,452847,663667
11/30/22,535500,841667,281333,316000,413000,597067,443180,652000
12/31/22,523833,828333,278000,310050,413000,586567,432463,637000
01/31/23,520000,818333,274667,305950,410000,577583,422583,618333
02/28/23,516667,816667,271667,305283,415000,561250,420083,611833
03/31/23,516667,827583,276333,307900,421667,571250,424167,619983
04/30/23,521667,839250,288000,315167,435000,593000,428500,636650